"Database","Pathway","Overlap","Genes","p_value","FDR","Combined_Score","Direction"
"WikiPathway_2023_Human","Hippo Signaling Regulation Pathways WP4540","1/98","STK3","0.1069","0.1603","20.8","Positive"
"Reactome_2022","MECP2 Regulates Transcription Factors R-HSA-9022707","1/5","RBFOX1","0.0057","0.1631","1171.3","Positive"
"Reactome_2022","Classical Antibody-Mediated Complement Activation R-HSA-173623","1/6","C1QC","0.0069","0.1631","904.0","Positive"
"Reactome_2022","Digestion Of Dietary Lipid R-HSA-192456","1/7","CLPS","0.0080","0.1631","730.1","Positive"
"Reactome_2022","Nectin/Necl Trans Heterodimerization R-HSA-420597","1/7","NECTIN4","0.0080","0.1631","730.1","Positive"
"Reactome_2022","Alpha-defensins R-HSA-1462054","1/8","DEFA5","0.0092","0.1631","608.5","Positive"
"Reactome_2022","Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803","1/13","RNF41","0.0149","0.1631","318.4","Positive"
"Reactome_2022","Creation Of C4 And C2 Activators R-HSA-166786","1/14","C1QC","0.0160","0.1631","288.7","Positive"
"Reactome_2022","p130Cas Linkage To MAPK Signaling For Integrins R-HSA-372708","1/15","FGG","0.0171","0.1631","263.6","Positive"
"Reactome_2022","GRB2:SOS Provides Linkage To MAPK Signaling For Integrins R-HSA-354194","1/15","FGG","0.0171","0.1631","263.6","Positive"
"Reactome_2022","MyD88 Deficiency (TLR2/4) R-HSA-5602498","1/17","FGG","0.0194","0.1631","223.6","Positive"
"Reactome_2022","Immune System R-HSA-168256","6/1943","DEFA5;FGG;IL20RB;RNF41;C1QC;IP6K2","0.0198","0.1631","12.9","Positive"
"Reactome_2022","Regulation Of TLR By Endogenous Ligand R-HSA-5686938","1/18","FGG","0.0205","0.1631","207.4","Positive"
"Reactome_2022","IRAK4 Deficiency (TLR2/4) R-HSA-5603041","1/18","FGG","0.0205","0.1631","207.4","Positive"
"Reactome_2022","Initial Triggering Of Complement R-HSA-166663","1/21","C1QC","0.0239","0.1631","169.4","Positive"
"Reactome_2022","Common Pathway Of Fibrin Clot Formation R-HSA-140875","1/22","FGG","0.0250","0.1631","159.3","Positive"
"Reactome_2022","Digestion R-HSA-8935690","1/23","CLPS","0.0261","0.1631","150.3","Positive"
"Reactome_2022","Interleukin-20 Family Signaling R-HSA-8854691","1/26","IL20RB","0.0295","0.1631","127.8","Positive"
"Reactome_2022","Integrin Signaling R-HSA-354192","1/27","FGG","0.0306","0.1631","121.6","Positive"
"Reactome_2022","Digestion And Absorption R-HSA-8963743","1/28","CLPS","0.0317","0.1631","115.9","Positive"
"Reactome_2022","Adherens Junctions Interactions R-HSA-418990","1/29","NECTIN4","0.0328","0.1631","110.6","Positive"
"Reactome_2022","Downregulation Of ERBB2 Signaling R-HSA-8863795","1/29","RNF41","0.0328","0.1631","110.6","Positive"
"Reactome_2022","Metalloprotease DUBs R-HSA-5689901","1/31","MYSM1","0.0351","0.1631","101.3","Positive"
"Reactome_2022","Diseases Associated With TLR Signaling Cascade R-HSA-5602358","1/31","FGG","0.0351","0.1631","101.3","Positive"
"Reactome_2022","Signaling By High-Kinase Activity BRAF Mutants R-HSA-6802948","1/33","FGG","0.0373","0.1631","93.2","Positive"
"Reactome_2022","Platelet Aggregation (Plug Formation) R-HSA-76009","1/36","FGG","0.0406","0.1631","83.0","Positive"
"Reactome_2022","Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877","1/37","FGG","0.0417","0.1631","80.0","Positive"
"Reactome_2022","MAP2K And MAPK Activation R-HSA-5674135","1/37","FGG","0.0417","0.1631","80.0","Positive"
"Reactome_2022","Signaling By RAF1 Mutants R-HSA-9656223","1/38","FGG","0.0428","0.1631","77.2","Positive"
"Reactome_2022","Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF R-HSA-6802955","1/41","FGG","0.0461","0.1631","69.7","Positive"
"Reactome_2022","Retinoid Metabolism And Transport R-HSA-975634","1/43","CLPS","0.0483","0.1631","65.4","Positive"
"Reactome_2022","Defensins R-HSA-1461973","1/43","DEFA5","0.0483","0.1631","65.4","Positive"
"Reactome_2022","Regulation Of Complement Cascade R-HSA-977606","1/45","C1QC","0.0505","0.1631","61.5","Positive"
"Reactome_2022","Metabolism Of Fat-Soluble Vitamins R-HSA-6806667","1/47","CLPS","0.0527","0.1631","58.0","Positive"
"Reactome_2022","SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678","1/47","GEMIN7","0.0527","0.1631","58.0","Positive"
"Reactome_2022","Inositol Phosphate Metabolism R-HSA-1483249","1/48","IP6K2","0.0538","0.1631","56.3","Positive"
"Reactome_2022","Signaling By ERBB2 R-HSA-1227986","1/49","RNF41","0.0549","0.1631","54.8","Positive"
"GO_Biological_Process_2023","Protein Catabolic Process (GO:0030163)","1/102","RNF41","0.1110","0.1638","19.7","Positive"
"GO_Biological_Process_2023","Circulatory System Development (GO:0072359)","1/132","MEF2C","0.1356","0.1640","14.4","Negative"
"GO_Biological_Process_2023","Macroautophagy (GO:0016236)","1/104","STK3","0.1131","0.1645","19.1","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Inflammatory Response (GO:0050729)","1/104","OSM","0.1131","0.1645","19.1","Positive"
"GO_Biological_Process_2023","Antigen Receptor-Mediated Signaling Pathway (GO:0050851)","1/134","MEF2C","0.1375","0.1654","14.1","Negative"
"GO_Biological_Process_2023","Cellular Response To Metal Ion (GO:0071248)","1/135","MEF2C","0.1385","0.1656","13.9","Negative"
"WikiPathway_2023_Human","Complement System In Neuronal Development And Plasticity WP5090","1/106","C1QC","0.1151","0.1658","18.6","Positive"
"GO_Biological_Process_2023","Response To Calcium Ion (GO:0051592)","1/106","FGG","0.1151","0.1664","18.6","Positive"
"WikiPathway_2023_Human","Selenium Micronutrient Network WP15","1/86","SERPINA3","0.0905","0.1680","26.8","Negative"
"WikiPathway_2023_Human","ErbB Signaling Pathway WP673","1/90","BTC","0.0945","0.1680","25.1","Negative"
"Reactome_2022","Metabolism Of Non-Coding RNA R-HSA-194441","1/52","GEMIN7","0.0582","0.1682","50.5","Positive"
"GO_Biological_Process_2023","Cell-Matrix Adhesion (GO:0007160)","1/109","FGG","0.1182","0.1696","17.9","Positive"
"GO_Biological_Process_2023","Mitotic Sister Chromatid Segregation (GO:0000070)","1/111","NDC80","0.1202","0.1714","17.4","Positive"
"Reactome_2022","Complement Cascade R-HSA-166658","1/55","C1QC","0.0614","0.1728","46.8","Positive"
"Reactome_2022","tRNA Processing In Nucleus R-HSA-6784531","1/57","TSEN15","0.0636","0.1728","44.6","Positive"
"Reactome_2022","Transcriptional Regulation By MECP2 R-HSA-8986944","1/60","RBFOX1","0.0668","0.1728","41.5","Positive"
"Reactome_2022","Cell-cell Junction Organization R-HSA-421270","1/61","NECTIN4","0.0679","0.1728","40.6","Positive"
"Reactome_2022","Signaling By BRAF And RAF1 Fusions R-HSA-6802952","1/62","FGG","0.0690","0.1728","39.7","Positive"
"Reactome_2022","Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169","2/378","FGG;RNF41","0.0695","0.1728","13.2","Positive"
"KEGG_2021_Human","Coronavirus disease","2/232","FGG;C1QC","0.0289","0.1733","29.0","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090)","1/114","STK3","0.1233","0.1746","16.7","Positive"
"GO_Biological_Process_2023","Cellular Response To Molecule Of Bacterial Origin (GO:0071219)","1/117","DEFA5","0.1263","0.1767","16.1","Positive"
"GO_Biological_Process_2023","Regulation Of Protein Binding (GO:0043393)","1/118","STK3","0.1273","0.1767","15.9","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Cell Cycle Process (GO:0090068)","1/118","NDC80","0.1273","0.1767","15.9","Positive"
"Reactome_2022","Integrin Cell Surface Interactions R-HSA-216083","1/66","FGG","0.0732","0.1781","36.4","Positive"
"WikiPathway_2023_Human","Hippo Merlin Signaling Dysregulation WP4541","1/120","STK3","0.1293","0.1791","15.5","Positive"
"GO_Biological_Process_2023","Regulation Of Protein Catabolic Process (GO:0042176)","1/122","RNF41","0.1313","0.1792","15.1","Positive"
"GO_Biological_Process_2023","Protein Localization To Nucleus (GO:0034504)","1/122","STK3","0.1313","0.1792","15.1","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Growth (GO:0045926)","1/124","IP6K2","0.1334","0.1792","14.8","Positive"
"GO_Biological_Process_2023","Cellular Response To Lipopolysaccharide (GO:0071222)","1/124","DEFA5","0.1334","0.1792","14.8","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Defense Response (GO:0031349)","1/124","OSM","0.1334","0.1792","14.8","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Cell Growth (GO:0030308)","1/125","IP6K2","0.1344","0.1794","14.6","Positive"
"GO_Biological_Process_2023","Protein-Containing Complex Organization (GO:0043933)","1/126","FGG","0.1354","0.1796","14.4","Positive"
"WikiPathway_2023_Human","Gastrin Signaling Pathway WP4659","1/115","MEF2C","0.1192","0.1797","17.6","Negative"
"WikiPathway_2023_Human","Cell Cycle WP179","1/120","PTTG1","0.1241","0.1797","16.6","Negative"
"WikiPathway_2023_Human","Overview Of Proinflammatory And Profibrotic Mediators WP5095","1/129","CCL27","0.1328","0.1797","14.9","Negative"
"WikiPathway_2023_Human","Adipogenesis WP236","1/131","MEF2C","0.1347","0.1797","14.6","Negative"
"WikiPathway_2023_Human","TGF Beta Signaling Pathway WP366","1/132","MEF2C","0.1356","0.1797","14.4","Negative"
"WikiPathway_2023_Human","2Q37 Copy Number Variation Syndrome WP5224","1/135","MEF2C","0.1385","0.1797","13.9","Negative"
"WikiPathway_2023_Human","Brain Derived Neurotrophic Factor BDNF Signaling Pathway WP2380","1/137","MEF2C","0.1404","0.1797","13.6","Negative"
"WikiPathway_2023_Human","Overview Of Proinflammatory And Profibrotic Mediators WP5095","1/129","OSM","0.1384","0.1804","13.9","Positive"
"WikiPathway_2023_Human","Adipogenesis WP236","1/131","OSM","0.1403","0.1804","13.6","Positive"
"WikiPathway_2023_Human","Measles Virus Infection WP4630","1/136","NECTIN4","0.1453","0.1804","12.9","Positive"
"GO_Biological_Process_2023","Neuron Development (GO:0048666)","1/150","MEF2C","0.1527","0.1815","11.9","Negative"
"GO_Biological_Process_2023","Protein Homooligomerization (GO:0051260)","1/129","DEFA5","0.1384","0.1825","13.9","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)","1/130","OSM","0.1394","0.1826","13.8","Positive"
"GO_Biological_Process_2023","Cellular Response To Organic Cyclic Compound (GO:0071407)","1/152","MEF2C","0.1546","0.1827","11.7","Negative"
"GO_Biological_Process_2023","Synapse Organization (GO:0050808)","1/131","C1QC","0.1403","0.1828","13.6","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Cell Motility (GO:2000146)","1/133","RNF41","0.1423","0.1843","13.3","Positive"
"GO_Biological_Process_2023","Antigen Receptor-Mediated Signaling Pathway (GO:0050851)","1/134","IGHM","0.1433","0.1844","13.2","Positive"
"GO_Biological_Process_2023","Cellular Response To Growth Factor Stimulus (GO:0071363)","1/155","MEF2C","0.1574","0.1850","11.3","Negative"
"GO_Biological_Process_2023","Response To Lipopolysaccharide (GO:0032496)","1/159","MEF2C","0.1611","0.1883","10.9","Negative"
"Reactome_2022","Regulation Of Complement Cascade R-HSA-977606","1/45","CFHR3","0.0484","0.1892","65.3","Negative"
"Reactome_2022","Heme Signaling R-HSA-9707616","1/45","MEF2C","0.0484","0.1892","65.3","Negative"
"Reactome_2022","Signaling By EGFR R-HSA-177929","1/49","BTC","0.0526","0.1892","58.2","Negative"
"Reactome_2022","Signaling By ERBB2 R-HSA-1227986","1/49","BTC","0.0526","0.1892","58.2","Negative"
"Reactome_2022","Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201","1/52","MEF2C","0.0557","0.1892","53.7","Negative"
"Reactome_2022","Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927","1/52","BTC","0.0557","0.1892","53.7","Negative"
"Reactome_2022","Complement Cascade R-HSA-166658","1/55","CFHR3","0.0588","0.1892","49.8","Negative"
"Reactome_2022","Chemokine Receptors Bind Chemokines R-HSA-380108","1/56","CCL27","0.0599","0.1892","48.6","Negative"
"Reactome_2022","Signaling By ERBB4 R-HSA-1236394","1/57","BTC","0.0609","0.1892","47.4","Negative"
"Reactome_2022","Transcriptional Regulation By MECP2 R-HSA-8986944","1/60","MEF2C","0.0640","0.1892","44.2","Negative"
"Reactome_2022","Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725","1/61","MEF2C","0.0650","0.1892","43.2","Negative"
"Reactome_2022","MAP Kinase Activation R-HSA-450294","1/62","MEF2C","0.0661","0.1892","42.2","Negative"
"Reactome_2022","Interferon Alpha/Beta Signaling R-HSA-909733","1/72","IP6K2","0.0796","0.1894","32.2","Positive"
"WikiPathway_2023_Human","Sudden Infant Death Syndrome SIDS Susceptibility Pathways WP706","1/157","MEF2C","0.1593","0.1905","11.1","Negative"
"WikiPathway_2023_Human","EGF EGFR Signaling Pathway WP437","1/159","MEF2C","0.1611","0.1905","10.9","Negative"
"WikiPathway_2023_Human","Chemokine Signaling Pathway WP3929","1/165","CCL27","0.1667","0.1905","10.3","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Wnt Signaling Pathway (GO:0030178)","1/140","STK3","0.1493","0.1909","12.3","Positive"
"GO_Molecular_Function_2023","Amyloid-Beta Binding (GO:0001540)","1/79","ITM2A","0.0834","0.1929","30.2","Negative"
"KEGG_2021_Human","Cytokine-cytokine receptor interaction","2/295","OSM;IL20RB","0.0448","0.1933","19.9","Positive"
"KEGG_2021_Human","Fat digestion and absorption","1/43","CLPS","0.0483","0.1933","65.4","Positive"
"Reactome_2022","APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154","1/67","PTTG1","0.0712","0.1937","38.0","Negative"
"Reactome_2022","Circadian Clock R-HSA-400253","1/69","MEF2C","0.0732","0.1937","36.4","Negative"
"Reactome_2022","Interleukin-17 Signaling R-HSA-448424","1/69","MEF2C","0.0732","0.1937","36.4","Negative"
"Reactome_2022","APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178","1/73","PTTG1","0.0773","0.1937","33.7","Negative"
"Reactome_2022","Extra-nuclear Estrogen Signaling R-HSA-9009391","1/73","BTC","0.0773","0.1937","33.7","Negative"
"Reactome_2022","APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409","1/75","PTTG1","0.0794","0.1937","32.5","Negative"
"Reactome_2022","Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814","1/76","PTTG1","0.0804","0.1937","31.9","Negative"
"Reactome_2022","Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530","1/78","BTC","0.0824","0.1941","30.7","Negative"
"WikiPathway_2023_Human","Smith Magenis And Potocki Lupski Syndrome Copy Number Variation WP5381","1/155","RNF41","0.1639","0.1967","10.6","Positive"
"Reactome_2022","APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143","1/87","PTTG1","0.0915","0.1968","26.3","Negative"
"Reactome_2022","Mitochondrial Biogenesis R-HSA-1592230","1/89","MEF2C","0.0935","0.1968","25.5","Negative"
"Reactome_2022","MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871","1/96","MEF2C","0.1005","0.1968","22.9","Negative"
"Reactome_2022","Signaling By Receptor Tyrosine Kinases R-HSA-9006934","2/496","BTC;MEF2C","0.1024","0.1968","9.0","Negative"
"Reactome_2022","Innate Immune System R-HSA-168249","3/1035","SERPINA3;MEF2C;CFHR3","0.1025","0.1968","6.6","Negative"
"Reactome_2022","TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541","1/100","LTBR","0.1045","0.1968","21.6","Negative"
"Reactome_2022","TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138","1/101","MEF2C","0.1055","0.1968","21.3","Negative"
"Reactome_2022","MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155","1/102","MEF2C","0.1064","0.1968","21.0","Negative"
"Reactome_2022","Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164","1/103","MEF2C","0.1074","0.1968","20.7","Negative"
"Reactome_2022","Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181","1/103","MEF2C","0.1074","0.1968","20.7","Negative"
"Reactome_2022","Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825","1/104","BTC","0.1084","0.1968","20.4","Negative"
"Reactome_2022","PI3K/AKT Signaling In Cancer R-HSA-2219528","1/105","BTC","0.1094","0.1968","20.1","Negative"
"Reactome_2022","PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558","1/106","BTC","0.1104","0.1968","19.9","Negative"
"Reactome_2022","Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138","1/106","MEF2C","0.1104","0.1968","19.9","Negative"
"Reactome_2022","MyD88-independent TLR4 Cascade R-HSA-166166","1/107","MEF2C","0.1114","0.1968","19.6","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Protein Metabolic Process (GO:0051248)","1/147","DNAJC1","0.1561","0.1985","11.5","Positive"
"Reactome_2022","MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058","1/112","MEF2C","0.1163","0.1989","18.3","Negative"
"Reactome_2022","Negative Regulation Of PI3K/AKT Network R-HSA-199418","1/113","BTC","0.1173","0.1989","18.1","Negative"
"Reactome_2022","Signaling By NTRK1 (TRKA) R-HSA-187037","1/114","MEF2C","0.1182","0.1989","17.9","Negative"
