"Database","Pathway","Overlap","Genes","p_value","FDR","Combined_Score","Direction"
"GO_Biological_Process_2023","Regulation Of Neurotransmitter Secretion (GO:0046928)","1/38","MEF2C","0.0410","0.0965","82.0","Negative"
"GO_Biological_Process_2023","Stem Cell Differentiation (GO:0048863)","1/41","MEF2C","0.0442","0.0965","74.1","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Ossification (GO:0045778)","1/41","MEF2C","0.0442","0.0965","74.1","Negative"
"GO_Biological_Process_2023","Cardiac Ventricle Morphogenesis (GO:0003208)","1/42","MEF2C","0.0452","0.0965","71.7","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Neuron Differentiation (GO:0045666)","1/42","MEF2C","0.0452","0.0965","71.7","Negative"
"GO_Biological_Process_2023","Determination Of Heart Left/Right Asymmetry (GO:0061371)","1/42","MEF2C","0.0452","0.0965","71.7","Negative"
"GO_Biological_Process_2023","Regulation Of Neurotransmitter Receptor Activity (GO:0099601)","1/42","MEF2C","0.0452","0.0965","71.7","Negative"
"GO_Biological_Process_2023","Embryonic Heart Tube Morphogenesis (GO:0003143)","1/42","MEF2C","0.0452","0.0965","71.7","Negative"
"GO_Biological_Process_2023","Skeletal Muscle Tissue Development (GO:0007519)","1/42","MEF2C","0.0452","0.0965","71.7","Negative"
"GO_Biological_Process_2023","Regulation Of Primary Metabolic Process (GO:0080090)","1/43","SERPINA3","0.0463","0.0965","69.5","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Biomineral Tissue Development (GO:0070169)","1/43","MEF2C","0.0463","0.0965","69.5","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Osteoblast Differentiation (GO:0045669)","1/44","MEF2C","0.0473","0.0965","67.4","Negative"
"GO_Biological_Process_2023","Regulation Of B Cell Proliferation (GO:0030888)","1/44","MEF2C","0.0473","0.0965","67.4","Negative"
"GO_Biological_Process_2023","Neural Crest Cell Development (GO:0014032)","1/44","FAM172A","0.0473","0.0965","67.4","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Chemotaxis (GO:0050921)","1/44","ZNF580","0.0473","0.0965","67.4","Negative"
