"protein","beta","se","t_stat","p_value","n_obs","fdr","rank_metric"
"MACROH2A1",-0.0483733544715353,0.0377466060027044,-1.28152858214774,0.211767193610638,27,0.896531207390823,-0.674141318720583
"CLEC2D",-0.0121674104905669,0.00949033571744118,-1.28208430690243,0.211575286252365,27,0.896531207390823,-0.67453506287057
"IL36RN",-0.0341214988608246,0.0265551324012989,-1.28493047389798,0.21059451485076,27,0.896531207390823,-0.676552944646592
"SORCS2",-0.00728797557221945,0.00566723878676409,-1.28598350033187,0.210232534038102,27,0.896531207390823,-0.677300074892516
"CD300E 2",-0.0604326834145687,0.0468618529458808,-1.28959227208451,0.208995631647442,27,0.896531207390823,-0.679862791263288
"PDE4D",-0.013691963608127,0.0106155595284109,-1.28980140627374,0.208924122938665,27,0.896531207390823,-0.680011412320763
"FXN 2",-0.0482932313288544,0.0373870682231684,-1.29170950341936,0.208272560511585,27,0.896531207390823,-0.681367943702656
"CDK5|CDK5R1",-0.0380331050597945,0.0294326120051716,-1.29220964327297,0.208102035311007,27,0.896531207390823,-0.681723672215011
"BET1L",-0.0414932517313927,0.0320981530427302,-1.29269904334232,0.207935275865602,27,0.896531207390823,-0.682071827098611
"CFHR4",-0.0433838160491162,0.0335070709215493,-1.29476599583089,0.207232110861334,27,0.896531207390823,-0.683542949267589
"NUDT14",-0.0246504928100737,0.0190343656949957,-1.29505197100182,0.207134968097028,27,0.896531207390823,-0.683746578220805
"BMP3",-0.0154558940678219,0.0119338255456229,-1.29513323357495,0.207107370450386,27,0.896531207390823,-0.683804445341341
"CFHR5 2",-0.00601115263694777,0.00463128432170932,-1.29794506650569,0.20615418423209,27,0.896531207390823,-0.68580784606531
"BUD31",-0.0166352491378199,0.012794599689701,-1.30017738274456,0.205399858602831,27,0.896531207390823,-0.68739985970676
"ANKRD2",-0.0203991778198281,0.0156747618942899,-1.30140272352457,0.204986707230537,27,0.896531207390823,-0.688274300717919
"CBX2",-0.0598121608008685,0.0459187337963607,-1.30256555126546,0.204595226534709,27,0.896531207390823,-0.689104503144968
"C3 4",-0.00428822312480033,0.00328700050696269,-1.30460068859643,0.20391146028039,27,0.896531207390823,-0.690558365214166
"CCNA1",-0.0233804795310253,0.017898254384087,-1.30629943173746,0.203342067789379,27,0.896531207390823,-0.691772764407624
"COL6A1 2",-8.79320525772927e-06,6.73136211214046e-06,-1.30630400077128,0.203340537977234,27,0.896531207390823,-0.691776031766314
"KIAA1143",-0.0470645289704253,0.0360009205331754,-1.30731459844352,0.203002386220905,27,0.896531207390823,-0.692498857079492
"TNNT3",-0.0103258821712876,0.00789229879502998,-1.30834911848371,0.202656680070771,27,0.896531207390823,-0.693239076254585
"BRDT",-0.0356202975311047,0.027214262797729,-1.3088834261598,0.202478308432062,27,0.896531207390823,-0.693621496068342
"APOE 2",-1.63769972640119e-05,1.25068922400648e-05,-1.30943778435617,0.202293371477834,27,0.896531207390823,-0.694018347470237
"PUS1",-0.0695000380662196,0.053049685742824,-1.3100933039103,0.202074855066243,27,0.896531207390823,-0.69448772401749
"NAPB",-0.0254375632864225,0.0193933271130152,-1.31166576720871,0.201551420941678,27,0.896531207390823,-0.695614135715074
"LOXL2",-0.0464610456503552,0.0354092660021381,-1.3121154685203,0.201401919524692,27,0.896531207390823,-0.695936394581759
"PIK3C3",-0.0471439245000106,0.0359150179873533,-1.31265211997419,0.201223624174167,27,0.896531207390823,-0.696321033326893
"ADCYAP1R1",-0.0188802006997042,0.0143799773336501,-1.31295065782359,0.201124491803061,27,0.896531207390823,-0.696535040257265
"USP46|WDR48",-0.0599255209214157,0.0456406493025571,-1.3129857229717,0.20111285056316,27,0.896531207390823,-0.696560178282607
"METTL21C",-0.0204279232549761,0.0155454364769751,-1.31407846188382,0.200750334635134,27,0.896531207390823,-0.697343722113686
"SARS2",-0.039089793004885,0.0297218865660213,-1.31518545830039,0.200383604771604,27,0.896531207390823,-0.698137814982961
"PZP",-0.00252191025676242,0.00191733844057435,-1.31531825753567,0.200339645420966,27,0.896531207390823,-0.698233099214547
"MSI2",-0.0491755755064404,0.0373039304076282,-1.31824113355049,0.199374001745653,27,0.896531207390823,-0.700331474081201
"VCPIP1",-0.0574019686715418,0.0435233969734292,-1.31887611407229,0.199164698085217,27,0.896531207390823,-0.700787637726864
"C10orf105",-0.0293807008249398,0.0222664356324983,-1.31950624293266,0.198957162059565,27,0.896531207390823,-0.70124042250421
"ATP5IF1",-0.00973813252286416,0.00736147333959366,-1.32285102093458,0.197858349209374,27,0.896531207390823,-0.703645618690583
"REG3G 2",-0.0216391343182795,0.0163488726142611,-1.32358571926261,0.197617621088677,27,0.896531207390823,-0.704174333025824
"TEN1",-0.0356053052680042,0.0268917314641522,-1.32402427547172,0.197474034023868,27,0.896531207390823,-0.704490001918638
"PSTPIP1",-0.0253547844761077,0.0191401949232277,-1.32468789256364,0.197256914116674,27,0.896531207390823,-0.704967765253688
"ARHGAP22",-0.0746862170240592,0.0563371640178761,-1.32570068667924,0.196925909071291,27,0.896531207390823,-0.705697141015513
"CKAP4",-0.05142915989937,0.0386784861436339,-1.32965803543567,0.195636689011001,27,0.896531207390823,-0.708549695863124
"TMOD1",-0.0154199490348682,0.0115927177343942,-1.33014098921076,0.195479803260889,27,0.896531207390823,-0.708898106735912
"CUL3",-0.0504290085713905,0.0378216125320069,-1.33333840614845,0.194443601273636,27,0.896531207390823,-0.711206343991322
"EPHA8",-0.0620822723658316,0.0464900559690421,-1.33538820446188,0.193781565642493,27,0.896531207390823,-0.712687539568698
"ABHD4",-0.0144671300048789,0.0108161550225764,-1.33754832236427,0.193085800604337,27,0.896531207390823,-0.714249662760872
"FXR1",-0.0616737034863205,0.0460066171266794,-1.34053984705073,0.192125459739235,27,0.896531207390823,-0.716415080262665
"BCL2",-0.0266144070518999,0.0198531169672169,-1.34056567015889,0.192117186236873,27,0.896531207390823,-0.716433782696973
"LYSMD3",-0.0915231817206148,0.0682628979251363,-1.34074562467284,0.192059538069596,27,0.896531207390823,-0.716564120010737
"ECE1 2",-0.0346179315238421,0.0258177632704055,-1.34085711303752,0.192023829703311,27,0.896531207390823,-0.71664487303355
"SAA2",-0.0151551796644383,0.0113003056481753,-1.34113006641422,0.191936427918246,27,0.896531207390823,-0.716842592005055
"RLBP1",-0.0235205477390527,0.0175267440317171,-1.34198044408528,0.191664329341915,27,0.896531207390823,-0.717458706169674
"FCGR1A",-0.001896199429453,0.00141251898021469,-1.3424240353675,0.191522511250614,27,0.896531207390823,-0.717780172414199
"CLEC4G",-6.61975512186154e-05,4.92872230769936e-05,-1.3430976039207,0.191307324999971,27,0.896531207390823,-0.718268400876186
"CCDC149",-0.0717562483239393,0.0534249792574186,-1.34312168804399,0.191299634294087,27,0.896531207390823,-0.718285860209045
"TTN",-0.0302714993106761,0.0225327928990053,-1.34344195352776,0.191197387882545,27,0.896531207390823,-0.718518045302314
"FAM189A2 2",-0.0447730423444202,0.0333109774773037,-1.34409272063319,0.190989758528262,27,0.896531207390823,-0.718989920364383
"GDNF",-0.0446226653268979,0.0331823701201608,-1.34477028510348,0.190773766483901,27,0.896531207390823,-0.719481345850918
"BLOC1S2",-0.0860458315350369,0.0639844524171257,-1.34479280957332,0.190766589475551,27,0.896531207390823,-0.719497684542615
"RPS3A",-0.0406182173402833,0.0301785093430782,-1.34593186424563,0.190403925488277,27,0.896531207390823,-0.720324102168332
"ACSS2",-0.0244933012231941,0.0181480245076202,-1.34964007861624,0.189226995807352,27,0.896531207390823,-0.723016905493294
"CCDC107",-0.00634526364693211,0.00470143295268333,-1.34964461065228,0.1892255608973,27,0.896531207390823,-0.723020198764836
"HNRNPH1",-0.0332036611029742,0.0245974394436172,-1.34988282740098,0.189150149905895,27,0.896531207390823,-0.723193310182619
"VSTM4",-0.0365310407717197,0.027042025813529,-1.35089882036291,0.188828786324117,27,0.896531207390823,-0.723931798233156
"TAF10",-0.0196141521630978,0.0145179026437598,-1.35103207704237,0.188786668277699,27,0.896531207390823,-0.724028677929156
"EPS15L1",-0.0435373876125847,0.0322021673463764,-1.35200178125538,0.188480397992407,27,0.896531207390823,-0.724733809842251
"DUSP18",-0.0480484492024431,0.0355030365132932,-1.3533616817382,0.188051543607849,27,0.896531207390823,-0.725723097351288
"CERT1",-0.0422552064784304,0.0312042642025014,-1.35414846522941,0.187803774766952,27,0.896531207390823,-0.726295682868725
"CCL13",-0.0508370780556455,0.0375074474112148,-1.3553862383193,0.187414500552802,27,0.896531207390823,-0.727196810105466
"DDIT4",-0.0507948375066134,0.0374602535280411,-1.35596619677415,0.187232323691941,27,0.896531207390823,-0.727619172749524
"CEBPG",-0.049589316248496,0.0365582726004909,-1.35644582528306,0.187081767340218,27,0.896531207390823,-0.727968536013486
"ITGAL",-0.0341855523625123,0.025198597815978,-1.35664502494007,0.187019266048319,27,0.896531207390823,-0.728113651712261
