"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Direction","Threshold"
"Intracellular Membrane-Bounded Organelle (GO:0043231)","6/5175",0.57000456630396,0.646624088462795,0,0,1.01109555836264,0.568347841502343,"RBFOX1;DEFA5;MYSM1;NDC80;STK3;IP6K2","GO_Cellular_Component_2023","Positive","p < 0.01"
"Nucleolus (GO:0005730)","1/771",0.595336005093604,0.646624088462795,0,0,1.13382526564345,0.588035024687982,"MYSM1","GO_Cellular_Component_2023","Positive","p < 0.01"
"Nuclear Lumen (GO:0031981)","1/780",0.59967231006445,0.646624088462795,0,0,1.12020072353834,0.57283919797684,"MYSM1","GO_Cellular_Component_2023","Positive","p < 0.01"
"Nucleus (GO:0005634)","5/4487",0.612591241701596,0.646624088462795,0,0,0.960322772571769,0.470613263430984,"RBFOX1;MYSM1;NDC80;STK3;IP6K2","GO_Cellular_Component_2023","Positive","p < 0.01"
"Intracellular Non-Membrane-Bounded Organelle (GO:0043232)","1/1195",0.757758105991395,0.757758105991395,0,0,0.715052535404294,0.198349184793829,"MYSM1","GO_Cellular_Component_2023","Positive","p < 0.01"
"Protein Tyrosine Kinase Binding (GO:1990782)","2/85",0.00426169712968506,0.106919805366853,0,0,22.8273092369478,124.593458299227,"CEACAM7;RNF41","GO_Molecular_Function_2023","Positive","p < 0.01"
"Immunoglobulin Receptor Binding (GO:0034987)","1/7",0.00802338980417862,0.106919805366853,0,0,151.295454545455,730.06022058339,"IGHM","GO_Molecular_Function_2023","Positive","p < 0.01"
"Metal-Dependent Deubiquitinase Activity (GO:0140492)","1/8",0.00916455474573022,0.106919805366853,0,0,129.675324675325,608.490047133173,"MYSM1","GO_Molecular_Function_2023","Positive","p < 0.01"
"Peptidoglycan Binding (GO:0042834)","1/15",0.01711763141868,0.14977927491345,0,0,64.8149350649351,263.64422882818,"IGHM","GO_Molecular_Function_2023","Positive","p < 0.01"
"Phosphotransferase Activity, Phosphate Group As Acceptor (GO:0016776)","1/20",0.0227609834903901,0.159326884432731,0,0,47.7464114832536,180.610706872738,"IP6K2","GO_Molecular_Function_2023","Positive","p < 0.01"
"Protein Serine/Threonine Kinase Activator Activity (GO:0043539)","1/56",0.0624878802572221,0.285242972280523,0,0,16.4644628099174,45.6523769349805,"STK3","GO_Molecular_Function_2023","Positive","p < 0.01"
"Receptor Tyrosine Kinase Binding (GO:0030971)","1/59",0.0657277952904182,0.285242972280523,0,0,15.6105015673981,42.4954284324617,"RNF41","GO_Molecular_Function_2023","Positive","p < 0.01"
"Phosphotransferase Activity, Alcohol Group As Acceptor (GO:0016773)","1/77",0.0849435269348038,0.285242972280523,0,0,11.9025119617225,29.3488406407707,"IP6K2","GO_Molecular_Function_2023","Positive","p < 0.01"
"Growth Factor Activity (GO:0008083)","1/85",0.0933619730924318,0.285242972280523,0,0,10.7646103896104,25.5258101331122,"OSM","GO_Molecular_Function_2023","Positive","p < 0.01"
"Protein Kinase Activator Activity (GO:0030295)","1/88",0.0964997501676387,0.285242972280523,0,0,10.3918495297806,24.2983769890205,"STK3","GO_Molecular_Function_2023","Positive","p < 0.01"
"Single-Stranded DNA Binding (GO:0003697)","1/96",0.104816454902684,0.285242972280523,0,0,9.51291866028708,21.4568114296548,"IGHM","GO_Molecular_Function_2023","Positive","p < 0.01"
"Cytokine Receptor Binding (GO:0005126)","1/100",0.108947297836033,0.285242972280523,0,0,9.1267217630854,20.2329475165344,"OSM","GO_Molecular_Function_2023","Positive","p < 0.01"
"Kinase Activity (GO:0016301)","1/106",0.115109392544778,0.285242972280523,0,0,8.6025974025974,18.5977175767614,"IP6K2","GO_Molecular_Function_2023","Positive","p < 0.01"
"Metal Ion Binding (GO:0046872)","2/521",0.119756051336926,0.285242972280523,0,0,3.57060280759703,7.57788502151743,"REG4;STK3","GO_Molecular_Function_2023","Positive","p < 0.01"
"Deubiquitinase Activity (GO:0101005)","1/113",0.122246988120224,0.285242972280523,0,0,8.06209415584416,16.9441983231749,"MYSM1","GO_Molecular_Function_2023","Positive","p < 0.01"
"Metallopeptidase Activity (GO:0008237)","1/124",0.133352065146115,0.291707642507127,0,0,7.3370288248337,14.7823708444845,"MYSM1","GO_Molecular_Function_2023","Positive","p < 0.01"
"Magnesium Ion Binding (GO:0000287)","1/155",0.163929815349397,0.337502561013464,0,0,5.85094451003542,10.5803618264268,"STK3","GO_Molecular_Function_2023","Positive","p < 0.01"
"Cytokine Activity (GO:0005125)","1/178",0.185946776731365,0.361563176977654,0,0,5.08474576271186,8.55404131943519,"OSM","GO_Molecular_Function_2023","Positive","p < 0.01"
"Small GTPase Binding (GO:0031267)","1/199",0.205563979502003,0.378670488556321,0,0,4.54063360881543,7.1832730959217,"RNF41","GO_Molecular_Function_2023","Positive","p < 0.01"
"GTPase Binding (GO:0051020)","1/225",0.229225891449228,0.399186306371722,0,0,4.00831980519481,5.90444481121249,"RNF41","GO_Molecular_Function_2023","Positive","p < 0.01"
"Ubiquitin-Like Protein Transferase Activity (GO:0019787)","1/240",0.242568760363977,0.399186306371722,0,0,3.75389882084443,5.31728529138903,"RNF41","GO_Molecular_Function_2023","Positive","p < 0.01"
"ATP Binding (GO:0005524)","1/279",0.276234175118071,0.399186306371722,0,0,3.22089601046436,4.14370304914773,"STK3","GO_Molecular_Function_2023","Positive","p < 0.01"
"mRNA Binding (GO:0003729)","1/282",0.278763665193844,0.399186306371722,0,0,3.18602394047234,4.06979809799815,"RBFOX1","GO_Molecular_Function_2023","Positive","p < 0.01"
"Adenyl Ribonucleotide Binding (GO:0032559)","1/309",0.301151721952042,0.399186306371722,0,0,2.90274498229044,3.48370350261819,"STK3","GO_Molecular_Function_2023","Positive","p < 0.01"
"Ubiquitin Protein Ligase Activity (GO:0061630)","1/311",0.302783381724688,0.399186306371722,0,0,2.88372434017595,3.44529401531398,"RNF41","GO_Molecular_Function_2023","Positive","p < 0.01"
"Receptor Ligand Activity (GO:0048018)","1/319",0.309273655276435,0.399186306371722,0,0,2.81003430531732,3.29765612510153,"OSM","GO_Molecular_Function_2023","Positive","p < 0.01"
"Ubiquitin-Like Protein Ligase Activity (GO:0061659)","1/319",0.309273655276435,0.399186306371722,0,0,2.81003430531732,3.29765612510153,"RNF41","GO_Molecular_Function_2023","Positive","p < 0.01"
"Protein Serine/Threonine Kinase Activity (GO:0004674)","1/342",0.327612861232767,0.399186306371722,0,0,2.61743535057318,2.92085544187951,"STK3","GO_Molecular_Function_2023","Positive","p < 0.01"
"Calcium Ion Binding (GO:0005509)","1/346",0.33075436813657,0.399186306371722,0,0,2.58656126482213,2.86171776220506,"REG4","GO_Molecular_Function_2023","Positive","p < 0.01"
"Ubiquitin-Protein Transferase Activity (GO:0004842)","1/412",0.38060591551921,0.444040234772411,0,0,2.16390179163902,2.09030918306734,"RNF41","GO_Molecular_Function_2023","Positive","p < 0.01"
"Purine Ribonucleoside Triphosphate Binding (GO:0035639)","1/476",0.425541189544907,0.480449730131347,0,0,1.86622009569378,1.59448638084646,"STK3","GO_Molecular_Function_2023","Positive","p < 0.01"
"Protein Kinase Binding (GO:0019901)","1/511",0.448778412759014,0.490851388955172,0,0,1.73502673796791,1.39014857799435,"CEACAM7","GO_Molecular_Function_2023","Positive","p < 0.01"
"Protein Homodimerization Activity (GO:0042803)","1/662",0.539119491492587,0.571793400067895,0,0,1.32829046898638,0.820641816174785,"DEFA5","GO_Molecular_Function_2023","Positive","p < 0.01"
"DNA Binding (GO:0003677)","1/846",0.630140890076551,0.648674445667038,0,0,1.02915545992469,0.475276186429509,"IGHM","GO_Molecular_Function_2023","Positive","p < 0.01"
"RNA Binding (GO:0003723)","1/1411",0.814311944984201,0.814311944984201,0,0,0.598549323017408,0.122949070842589,"RBFOX1","GO_Molecular_Function_2023","Positive","p < 0.01"
"Staphylococcus aureus infection","3/95",0.00017161069775851,0.00411865674620424,0,0,32.4211956521739,281.100910106145,"DEFA5;FGG;C1QC","KEGG_2021_Human","Positive","p < 0.01"
"Complement and coagulation cascades","2/85",0.00426169712968506,0.0511403655562207,0,0,22.8273092369478,124.593458299227,"FGG;C1QC","KEGG_2021_Human","Positive","p < 0.01"
"JAK-STAT signaling pathway","2/162",0.0147555359305579,0.118044287444463,0,0,11.7958333333333,49.7328487642658,"OSM;IL20RB","KEGG_2021_Human","Positive","p < 0.01"
"Coronavirus disease","2/232",0.0288830263960938,0.173298158376563,0,0,8.1768115942029,28.9827183307107,"FGG;C1QC","KEGG_2021_Human","Positive","p < 0.01"
"Cytokine-cytokine receptor interaction","2/295",0.0447526363700854,0.193294577896526,0,0,6.39817974971559,19.8766167067769,"OSM;IL20RB","KEGG_2021_Human","Positive","p < 0.01"
"Fat digestion and absorption","1/43",0.0483236444741316,0.193294577896526,0,0,21.5746753246753,65.3676914067237,"CLPS","KEGG_2021_Human","Positive","p < 0.01"
"Adherens junction","1/71",0.0785806796212511,0.238890847788561,0,0,12.9266233766234,32.8805394717248,"NECTIN4","KEGG_2021_Human","Positive","p < 0.01"
"Pertussis","1/76",0.0838859790374924,0.238890847788561,0,0,12.0618181818182,29.8927653375453,"C1QC","KEGG_2021_Human","Positive","p < 0.01"
"Phosphatidylinositol signaling system","1/97",0.105850879528965,0.238890847788561,0,0,9.41335227272727,21.1397908579509,"IP6K2","KEGG_2021_Human","Positive","p < 0.01"
"Viral protein interaction with cytokine and cytokine receptor","1/100",0.108947297836033,0.238890847788561,0,0,9.1267217630854,20.2329475165344,"IL20RB","KEGG_2021_Human","Positive","p < 0.01"
"Chagas disease","1/102",0.111005875751784,0.238890847788561,0,0,8.94509450945094,19.6628575794324,"C1QC","KEGG_2021_Human","Positive","p < 0.01"
"Platelet activation","1/124",0.133352065146115,0.238890847788561,0,0,7.3370288248337,14.7823708444845,"FGG","KEGG_2021_Human","Positive","p < 0.01"
"Systemic lupus erythematosus","1/135",0.144322678920115,0.238890847788561,0,0,6.73100407055631,13.0292292180674,"C1QC","KEGG_2021_Human","Positive","p < 0.01"
"Gastric cancer","1/149",0.158093257992203,0.238890847788561,0,0,6.08998771498772,11.2334097333281,"REG4","KEGG_2021_Human","Positive","p < 0.01"
"Hippo signaling pathway","1/163",0.171651711513334,0.238890847788561,0,0,5.55976430976431,9.7979047482539,"STK3","KEGG_2021_Human","Positive","p < 0.01"
"Protein processing in endoplasmic reticulum","1/171",0.179305362191695,0.238890847788561,0,0,5.29598930481283,9.10203141916599,"DNAJC1","KEGG_2021_Human","Positive","p < 0.01"
"NOD-like receptor signaling pathway","1/181",0.18877733220113,0.238890847788561,0,0,4.99924242424242,8.33467245433767,"DEFA5","KEGG_2021_Human","Positive","p < 0.01"
"RNA transport","1/186",0.193474015760555,0.238890847788561,0,0,4.86289926289926,7.98785698068857,"GEMIN7","KEGG_2021_Human","Positive","p < 0.01"
"Neutrophil extracellular trap formation","1/189",0.196279529187069,0.238890847788561,0,0,4.78457446808511,7.79031814928644,"FGG","KEGG_2021_Human","Positive","p < 0.01"
"Transcriptional misregulation in cancer","1/192",0.199075706490468,0.238890847788561,0,0,4.70871013802951,7.60018820559212,"DEFA5","KEGG_2021_Human","Positive","p < 0.01"
"Endocytosis","1/252",0.253083692809402,0.289238506067888,0,0,3.57225642883013,4.90840551700642,"RNF41","KEGG_2021_Human","Positive","p < 0.01"
"Prion disease","1/273",0.271149714792557,0.295799688864608,0,0,3.29294786096257,4.29757408494553,"C1QC","KEGG_2021_Human","Positive","p < 0.01"
"MAPK signaling pathway","1/294",0.288797322594514,0.30135372792471,0,0,3.05367669872789,3.79275850618927,"STK3","KEGG_2021_Human","Positive","p < 0.01"
"PI3K-Akt signaling pathway","1/354",0.336995314864433,0.336995314864433,0,0,2.52691218130312,2.74848763760797,"OSM","KEGG_2021_Human","Positive","p < 0.01"
"MECP2 Regulates Transcription Factors R-HSA-9022707","1/5",0.00573728911332865,0.16313408095995,0,0,226.965909090909,1171.31850515834,"RBFOX1","Reactome_2022","Positive","p < 0.01"
"Classical Antibody-Mediated Complement Activation R-HSA-173623","1/6",0.00688096832442016,0.16313408095995,0,0,181.563636363636,904.004599611462,"C1QC","Reactome_2022","Positive","p < 0.01"
"Digestion Of Dietary Lipid R-HSA-192456","1/7",0.00802338980417862,0.16313408095995,0,0,151.295454545455,730.06022058339,"CLPS","Reactome_2022","Positive","p < 0.01"
"Nectin/Necl Trans Heterodimerization R-HSA-420597","1/7",0.00802338980417862,0.16313408095995,0,0,151.295454545455,730.06022058339,"NECTIN4","Reactome_2022","Positive","p < 0.01"
"Alpha-defensins R-HSA-1462054","1/8",0.00916455474573022,0.16313408095995,0,0,129.675324675325,608.490047133173,"DEFA5","Reactome_2022","Positive","p < 0.01"
"Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803","1/13",0.0148515749863377,0.16313408095995,0,0,75.625,318.354732825143,"RNF41","Reactome_2022","Positive","p < 0.01"
"Creation Of C4 And C2 Activators R-HSA-166786","1/14",0.015985227036696,0.16313408095995,0,0,69.8041958041958,288.716456708675,"C1QC","Reactome_2022","Positive","p < 0.01"
"p130Cas Linkage To MAPK Signaling For Integrins R-HSA-372708","1/15",0.01711763141868,0.16313408095995,0,0,64.8149350649351,263.64422882818,"FGG","Reactome_2022","Positive","p < 0.01"
"GRB2:SOS Provides Linkage To MAPK Signaling For Integrins R-HSA-354194","1/15",0.01711763141868,0.16313408095995,0,0,64.8149350649351,263.64422882818,"FGG","Reactome_2022","Positive","p < 0.01"
"MyD88 Deficiency (TLR2/4) R-HSA-5602498","1/17",0.0193787023349684,0.16313408095995,0,0,56.7073863636364,223.630150653724,"FGG","Reactome_2022","Positive","p < 0.01"
"Immune System R-HSA-168256","6/1943",0.0197885895762956,0.16313408095995,0,0,3.28707218561147,12.8940330232798,"DEFA5;FGG;IL20RB;RNF41;C1QC;IP6K2","Reactome_2022","Positive","p < 0.01"
"Regulation Of TLR By Endogenous Ligand R-HSA-5686938","1/18",0.0205073714570784,0.16313408095995,0,0,53.3689839572192,207.443686227371,"FGG","Reactome_2022","Positive","p < 0.01"
"IRAK4 Deficiency (TLR2/4) R-HSA-5603041","1/18",0.0205073714570784,0.16313408095995,0,0,53.3689839572192,207.443686227371,"FGG","Reactome_2022","Positive","p < 0.01"
"Initial Triggering Of Complement R-HSA-166663","1/21",0.0238859289927227,0.16313408095995,0,0,45.3568181818182,169.383483507259,"C1QC","Reactome_2022","Positive","p < 0.01"
"Common Pathway Of Fibrin Clot Formation R-HSA-140875","1/22",0.0250096358786987,0.16313408095995,0,0,43.1948051948052,159.323783819131,"FGG","Reactome_2022","Positive","p < 0.01"
"Digestion R-HSA-8935690","1/23",0.0261321054395983,0.16313408095995,0,0,41.2293388429752,150.264061909767,"CLPS","Reactome_2022","Positive","p < 0.01"
"Interleukin-20 Family Signaling R-HSA-8854691","1/26",0.0294921031126647,0.16313408095995,0,0,36.2763636363636,127.824582690399,"IL20RB","Reactome_2022","Positive","p < 0.01"
"Integrin Signaling R-HSA-354192","1/27",0.0306096363049702,0.16313408095995,0,0,34.8793706293706,121.604847156372,"FGG","Reactome_2022","Positive","p < 0.01"
"Digestion And Absorption R-HSA-8963743","1/28",0.0317259386336052,0.16313408095995,0,0,33.5858585858586,115.892058167056,"CLPS","Reactome_2022","Positive","p < 0.01"
"Adherens Junctions Interactions R-HSA-418990","1/29",0.0328410113902878,0.16313408095995,0,0,32.3847402597403,110.628772743736,"NECTIN4","Reactome_2022","Positive","p < 0.01"
"Downregulation Of ERBB2 Signaling R-HSA-8863795","1/29",0.0328410113902878,0.16313408095995,0,0,32.3847402597403,110.628772743736,"RNF41","Reactome_2022","Positive","p < 0.01"
"Metalloprotease DUBs R-HSA-5689901","1/31",0.0350674733320937,0.16313408095995,0,0,30.2227272727273,101.260681469549,"MYSM1","Reactome_2022","Positive","p < 0.01"
"Diseases Associated With TLR Signaling Cascade R-HSA-5602358","1/31",0.0350674733320937,0.16313408095995,0,0,30.2227272727273,101.260681469549,"FGG","Reactome_2022","Positive","p < 0.01"
"Signaling By High-Kinase Activity BRAF Mutants R-HSA-6802948","1/33",0.0372890324289426,0.16313408095995,0,0,28.3309659090909,93.1821343249523,"FGG","Reactome_2022","Positive","p < 0.01"
"Platelet Aggregation (Plug Formation) R-HSA-76009","1/36",0.0406122007207396,0.16313408095995,0,0,25.8987012987013,82.9713261191909,"FGG","Reactome_2022","Positive","p < 0.01"
"Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877","1/37",0.0417174831924768,0.16313408095995,0,0,25.1780303030303,79.986447314411,"FGG","Reactome_2022","Positive","p < 0.01"
"MAP2K And MAPK Activation R-HSA-5674135","1/37",0.0417174831924768,0.16313408095995,0,0,25.1780303030303,79.986447314411,"FGG","Reactome_2022","Positive","p < 0.01"
"Signaling By RAF1 Mutants R-HSA-9656223","1/38",0.0428215476525957,0.16313408095995,0,0,24.4963144963145,77.1808774372472,"FGG","Reactome_2022","Positive","p < 0.01"
"Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF R-HSA-6802955","1/41",0.0461264457320206,0.16313408095995,0,0,22.6556818181818,69.6972334432732,"FGG","Reactome_2022","Positive","p < 0.01"
"Retinoid Metabolism And Transport R-HSA-975634","1/43",0.0483236444741316,0.16313408095995,0,0,21.5746753246753,65.3676914067237,"CLPS","Reactome_2022","Positive","p < 0.01"
"Defensins R-HSA-1461973","1/43",0.0483236444741316,0.16313408095995,0,0,21.5746753246753,65.3676914067237,"DEFA5","Reactome_2022","Positive","p < 0.01"
"Regulation Of Complement Cascade R-HSA-977606","1/45",0.0505160017943274,0.16313408095995,0,0,20.5919421487603,61.4765251551077,"C1QC","Reactome_2022","Positive","p < 0.01"
"Metabolism Of Fat-Soluble Vitamins R-HSA-6806667","1/47",0.0527035278621339,0.16313408095995,0,0,19.6946640316206,57.9628316575578,"CLPS","Reactome_2022","Positive","p < 0.01"
"SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678","1/47",0.0527035278621339,0.16313408095995,0,0,19.6946640316206,57.9628316575578,"GEMIN7","Reactome_2022","Positive","p < 0.01"
"Inositol Phosphate Metabolism R-HSA-1483249","1/48",0.0537954823572278,0.16313408095995,0,0,19.2746615087041,56.331466269691,"IP6K2","Reactome_2022","Positive","p < 0.01"
"Signaling By ERBB2 R-HSA-1227986","1/49",0.0548862328463383,0.16313408095995,0,0,18.8721590909091,54.7763045558682,"RNF41","Reactome_2022","Positive","p < 0.01"
"Metabolism Of Non-Coding RNA R-HSA-194441","1/52",0.0581512729120792,0.168167194637634,0,0,17.7593582887701,50.5201798987898,"GEMIN7","Reactome_2022","Positive","p < 0.01"
"Complement Cascade R-HSA-166658","1/55",0.0614055224333898,0.172827305454907,0,0,16.770202020202,46.7931485229585,"C1QC","Reactome_2022","Positive","p < 0.01"
"tRNA Processing In Nucleus R-HSA-6784531","1/57",0.063569044167743,0.172827305454907,0,0,16.1696428571429,44.5575311828709,"TSEN15","Reactome_2022","Positive","p < 0.01"
"Transcriptional Regulation By MECP2 R-HSA-8986944","1/60",0.0668053849974009,0.172827305454907,0,0,15.3451463790447,41.523530114707,"RBFOX1","Reactome_2022","Positive","p < 0.01"
"Cell-cell Junction Organization R-HSA-421270","1/61",0.0678817858220215,0.172827305454907,0,0,15.0886363636364,40.5882436696284,"NECTIN4","Reactome_2022","Positive","p < 0.01"
"Signaling By BRAF And RAF1 Fusions R-HSA-6802952","1/62",0.0689569990042959,0.172827305454907,0,0,14.8405365126677,39.6876338058496,"FGG","Reactome_2022","Positive","p < 0.01"
"Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169","2/378",0.0694539638744018,0.172827305454907,0,0,4.96479229989868,13.24155353606,"FGG;RNF41","Reactome_2022","Positive","p < 0.01"
"Integrin Cell Surface Interactions R-HSA-216083","1/66",0.0732460002885256,0.178120955247096,0,0,13.9244755244755,36.397627090159,"FGG","Reactome_2022","Positive","p < 0.01"
"Interferon Alpha/Beta Signaling R-HSA-909733","1/72",0.0796440849468237,0.189375935318003,0,0,12.7439180537772,32.244502268369,"IP6K2","Reactome_2022","Positive","p < 0.01"
"Oncogenic MAPK Signaling R-HSA-6802957","1/78",0.0859999070425244,0.200043262033698,0,0,11.7473435655254,28.8210391772366,"FGG","Reactome_2022","Positive","p < 0.01"
"Cell Junction Organization R-HSA-446728","1/86",0.0944090551290999,0.212356982798124,0,0,10.6374331550802,25.1056005208663,"NECTIN4","Reactome_2022","Positive","p < 0.01"
"Antimicrobial Peptides R-HSA-6803157","1/89",0.0975433655997771,0.212356982798124,0,0,10.2732438016529,23.9105457782376,"DEFA5","Reactome_2022","Positive","p < 0.01"
"ER-Phagosome Pathway R-HSA-1236974","1/89",0.0975433655997771,0.212356982798124,0,0,10.2732438016529,23.9105457782376,"FGG","Reactome_2022","Positive","p < 0.01"
"Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125","1/92",0.100667298168532,0.212356982798124,0,0,9.93306693306693,22.8056688483342,"CEACAM7","Reactome_2022","Positive","p < 0.01"
"Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444","1/93",0.10170630850222,0.212356982798124,0,0,9.824604743083,22.4557645074165,"NDC80","Reactome_2022","Positive","p < 0.01"
"EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025","1/97",0.105850879528965,0.212356982798124,0,0,9.41335227272727,21.1397908579509,"NDC80","Reactome_2022","Positive","p < 0.01"
"Visual Phototransduction R-HSA-2187338","1/98",0.106884160764475,0.212356982798124,0,0,9.31583880037488,20.8303053683161,"CLPS","Reactome_2022","Positive","p < 0.01"
"Antigen processing-Cross Presentation R-HSA-1236975","1/104",0.113059904110392,0.212356982798124,0,0,8.77052074139453,19.1183097949485,"FGG","Reactome_2022","Positive","p < 0.01"
"Innate Immune System R-HSA-168249","3/1035",0.113536789788697,0.212356982798124,0,0,2.75363372093023,5.99088360384781,"DEFA5;FGG;C1QC","Reactome_2022","Positive","p < 0.01"
"tRNA Processing R-HSA-72306","1/105",0.114085215222488,0.212356982798124,0,0,8.68575174825175,18.8551133467344,"TSEN15","Reactome_2022","Positive","p < 0.01"
"Resolution Of Sister Chromatid Cohesion R-HSA-2500257","1/106",0.115109392544778,0.212356982798124,0,0,8.6025974025974,18.5977175767614,"NDC80","Reactome_2022","Positive","p < 0.01"
"Post-translational Protein Phosphorylation R-HSA-8957275","1/106",0.115109392544778,0.212356982798124,0,0,8.6025974025974,18.5977175767614,"FGG","Reactome_2022","Positive","p < 0.01"
"Mitotic Spindle Checkpoint R-HSA-69618","1/110",0.119194787883399,0.216166818703791,0,0,8.28523769808174,17.6226695234356,"NDC80","Reactome_2022","Positive","p < 0.01"
"MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058","1/112",0.121230713879095,0.216194773084387,0,0,8.13513513513514,17.1656218001274,"FGG","Reactome_2022","Positive","p < 0.01"
"RHO GTPases Activate Formins R-HSA-5663220","1/119",0.128321065952231,0.223197677487448,0,0,7.64984591679507,15.7068153168513,"NDC80","Reactome_2022","Positive","p < 0.01"
"Cell-Cell Communication R-HSA-1500931","1/120",0.129329495366559,0.223197677487448,0,0,7.585179526356,15.5146647895607,"NECTIN4","Reactome_2022","Positive","p < 0.01"
"Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426","1/123",0.132348092527111,0.224624642796117,0,0,7.39754098360656,14.9601933269046,"FGG","Reactome_2022","Positive","p < 0.01"
"Platelet Degranulation R-HSA-114608","1/125",0.134354926532257,0.224624642796117,0,0,7.2774926686217,14.6078947117474,"FGG","Reactome_2022","Positive","p < 0.01"
"Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005","1/130",0.139352605587623,0.229395827659625,0,0,6.99365750528541,13.7827353318548,"FGG","Reactome_2022","Positive","p < 0.01"
"Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016","1/140",0.14926529207402,0.241990700786669,0,0,6.48724656638326,12.3389380569873,"FGG","Reactome_2022","Positive","p < 0.01"
"Toll-like Receptor Cascades R-HSA-168898","1/162",0.170690218562696,0.272594826659828,0,0,5.59457933370977,9.89068451256785,"FGG","Reactome_2022","Positive","p < 0.01"
"Metabolism Of RNA R-HSA-8953854","2/666",0.177481530427216,0.276575411700468,0,0,2.77008032128514,4.78916064703538,"TSEN15;GEMIN7","Reactome_2022","Positive","p < 0.01"
"Separation Of Sister Chromatids R-HSA-2467813","1/170",0.178352368292825,0.276575411700468,0,0,5.32759548144164,9.18474311517742,"NDC80","Reactome_2022","Positive","p < 0.01"
"Cytokine Signaling In Immune System R-HSA-1280215","2/702",0.192487028397822,0.287523884533047,0,0,2.62272108843537,4.32152707223214,"IL20RB;IP6K2","Reactome_2022","Positive","p < 0.01"
"Metabolism Of Vitamins And Cofactors R-HSA-196854","1/186",0.193474015760555,0.287523884533047,0,0,4.86289926289926,7.98785698068857,"CLPS","Reactome_2022","Positive","p < 0.01"
"Mitotic Prometaphase R-HSA-68877","1/186",0.193474015760555,0.287523884533047,0,0,4.86289926289926,7.98785698068857,"NDC80","Reactome_2022","Positive","p < 0.01"
"SARS-CoV-2-host Interactions R-HSA-9705683","1/196",0.202789471319089,0.294587779481171,0,0,4.61118881118881,7.35755257669388,"GEMIN7","Reactome_2022","Positive","p < 0.01"
"Adaptive Immune System R-HSA-1280218","2/733",0.205556730241435,0.294587779481171,0,0,2.50745879747248,3.966883124345,"FGG;RNF41","Reactome_2022","Positive","p < 0.01"
"Interferon Signaling R-HSA-913531","1/200",0.206486761318578,0.294587779481171,0,0,4.51758793969849,7.12658071179768,"IP6K2","Reactome_2022","Positive","p < 0.01"
"Post-translational Protein Modification R-HSA-597592","3/1383",0.210113474811578,0.295817655326827,0,0,2.02141304347826,3.15362172645893,"CEACAM7;FGG;MYSM1","Reactome_2022","Positive","p < 0.01"
"Mitotic Anaphase R-HSA-68882","1/232",0.235480303352306,0.324250904362217,0,0,3.88547815820543,5.61889878358746,"NDC80","Reactome_2022","Positive","p < 0.01"
"Mitotic Metaphase And Anaphase R-HSA-2555396","1/233",0.236369818133205,0.324250904362217,0,0,3.86853448275862,5.57981040016822,"NDC80","Reactome_2022","Positive","p < 0.01"
"Platelet Activation, Signaling And Aggregation R-HSA-76002","1/254",0.254822550500305,0.345139403842185,0,0,3.54365792310456,4.84484607988783,"FGG","Reactome_2022","Positive","p < 0.01"
"RHO GTPase Effectors R-HSA-195258","1/269",0.267741113048966,0.351595887239085,0,0,3.34277476255088,4.40489050425136,"NDC80","Reactome_2022","Positive","p < 0.01"
"RAF/MAP Kinase Cascade R-HSA-5673001","1/271",0.269447315454252,0.351595887239085,0,0,3.31767676767677,4.35074291442076,"FGG","Reactome_2022","Positive","p < 0.01"
"Cell Cycle Checkpoints R-HSA-69620","1/271",0.269447315454252,0.351595887239085,0,0,3.31767676767677,4.35074291442076,"NDC80","Reactome_2022","Positive","p < 0.01"
"MAPK1/MAPK3 Signaling R-HSA-5684996","1/277",0.274543136573098,0.351869723067066,0,0,3.2445652173913,4.19407711947046,"FGG","Reactome_2022","Positive","p < 0.01"
"Deubiquitination R-HSA-5688426","1/279",0.276234175118071,0.351869723067066,0,0,3.22089601046436,4.14370304914773,"MYSM1","Reactome_2022","Positive","p < 0.01"
"SARS-CoV-2 Infection R-HSA-9694516","1/283",0.279604947834416,0.351973287273912,0,0,3.17456479690522,4.04559418013733,"GEMIN7","Reactome_2022","Positive","p < 0.01"
"Extracellular Matrix Organization R-HSA-1474244","1/291",0.286301499873748,0.356212331238268,0,0,3.08573667711599,3.85936118891506,"FGG","Reactome_2022","Positive","p < 0.01"
